,Area Name,Occupational Code,Occupation,Naics Code,Industry,Year,Employment,Employment Relative Standard Error,Response Rate(%),Hourly wage; mean,Annual wage; mean,Wage Relative Standard Error,Hourly wage; 10th percentile,Hourly wage; 25th percentile,Hourly wage; median,Hourly wage; 75th percentile,Hourly wage; 90th percentile,Annual wage; 10th percentile,Annual wage; 25th percentile,Annual wage; median,Annual wage; 75th percentile,Annual wage; 90th percentile,NLP_Category
194,North Carolina,39-2011,Animal Trainers,0,"Cross-industry, private, federal, state, and local",2022,580,17.8,11,$18.68,"$38,850",2.7,$12.92,$13.99,$17.05,$22.08,$25.18,"$26,870","$29,100","$35,470","$45,920","$52,370",Entry level and Non-tech
195,North Carolina,29-2091,Orthotists and Prosthetists,0,"Cross-industry, private, federal, state, and local",2022,470,19.8,11,$33.29,"$69,240",8.8,$15.00,$22.77,$31.81,$40.22,$48.30,"$31,200","$47,360","$66,170","$83,660","$100,460",Non Entry level and Tech
196,North Carolina,23-2093,"Title Examiners, Abstractors, and Searchers",0,"Cross-industry, private, federal, state, and local",2022,430,19.0,11,$24.62,"$51,210",4.7,$11.83,$19.84,$25.00,$29.88,$32.23,"$24,610","$41,270","$52,000","$62,160","$67,030",Non Entry level and Non-tech
197,North Carolina,29-1129,"Therapists, All Other",0,"Cross-industry, private, federal, state, and local",2022,380,26.7,11,$40.79,"$84,850",17.6,$22.53,$25.09,$34.72,$65.15,$73.50,"$46,860","$52,200","$72,220","$135,510","$152,880",Non Entry level and Tech
198,North Carolina,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0,"Cross-industry, private, federal, state, and local",2022,260,21.6,11,$12.77,"$26,550",8.1,$10.08,$10.21,$11.26,$14.39,$16.29,"$20,970","$21,230","$23,410","$29,930","$33,870",Entry level and Non-tech
199,North Carolina,51-4199,"Metal Workers and Plastic Workers, All Other",0,"Cross-industry, private, federal, state, and local",2022,250,17.3,11,$20.42,"$42,470",2.8,$14.90,$16.35,$17.33,$21.69,$31.87,"$30,990","$34,010","$36,050","$45,120","$66,290",Non Entry level and Tech
200,North Carolina,49-3092,Recreational Vehicle Service Technicians,0,"Cross-industry, private, federal, state, and local",2022,240,22.5,11,$23.42,"$48,710",7.4,$15.17,$16.71,$23.16,$28.83,$33.28,"$31,560","$34,750","$48,170","$59,970","$69,230",Entry level and Tech
201,North Carolina,47-3016,Helpers--Roofers,0,"Cross-industry, private, federal, state, and local",2022,220,9.5,11,$16.39,"$34,090",3.1,$12.99,$14.10,$15.53,$17.88,$20.83,"$27,020","$29,320","$32,290","$37,190","$43,320",Entry level and Non-tech
202,North Carolina,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",0,"Cross-industry, private, federal, state, and local",2022,180,13.0,11,$41.15,"$85,590",5.3,$17.64,$30.57,$43.27,$52.00,$61.95,"$36,690","$63,590","$90,000","$108,160","$128,860",Non Entry level and Non-tech
203,North Carolina,39-4012,Crematory Operators,0,"Cross-industry, private, federal, state, and local",2022,160,40.6,11,$19.52,"$40,590",6.5,$12.79,$14.89,$18.15,$21.70,$29.62,"$26,600","$30,980","$37,760","$45,140","$61,600",Non Entry level and Tech
204,North Carolina,13-1032,"Insurance Appraisers, Auto Damage",0,"Cross-industry, private, federal, state, and local",2022,150,16.4,11,$35.84,"$74,550",3.6,$22.34,$31.77,$37.87,$39.18,$46.05,"$46,480","$66,070","$78,780","$81,500","$95,790",Entry level and Non-tech
205,North Carolina,49-9095,Manufactured Building and Mobile Home Installers,0,"Cross-industry, private, federal, state, and local",2022,120,19.7,11,$19.04,"$39,610",6.1,$14.98,$16.79,$20.63,$21.69,$22.98,"$31,150","$34,910","$42,910","$45,120","$47,790",Non Entry level and Tech
206,North Carolina,27-2032,Choreographers,0,"Cross-industry, private, federal, state, and local",2022,50,32.1,11,$37.52,"$78,030",26.7,$15.65,$16.30,$20.13,$62.78,$66.55,"$32,550","$33,900","$41,860","$130,580","$138,430",Non Entry level and Tech
207,North Carolina,45-2099,"Agricultural Workers, All Other",0,"Cross-industry, private, federal, state, and local",2022,*,92.3,12,$23.55,"$48,970",17.7,$14.01,$18.33,$25.19,$28.11,$29.86,"$29,130","$38,130","$52,390","$58,460","$62,100",Non Entry level and Tech
208,North Carolina,47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",0,"Cross-industry, private, federal, state, and local",2022,*,91.5,12,$12.53,"$26,060",5.5,$10.53,$10.53,$11.78,$12.95,$17.00,"$21,910","$21,910","$24,500","$26,930","$35,360",Non Entry level and Non-tech
209,North Carolina,53-0000,Transportation and Material Moving Occupations,0,"Cross-industry, private, federal, state, and local",2022,"455,770",0.6,12,$18.52,"$38,520",0.4,$11.18,$13.95,$16.64,$21.08,$27.70,"$23,250","$29,010","$34,600","$43,840","$57,610",Non Entry level and Tech
210,North Carolina,13-0000,Business and Financial Operations Occupations,0,"Cross-industry, private, federal, state, and local",2022,"302,740",0.9,12,$39.77,"$82,730",0.5,$20.00,$25.96,$35.83,$48.24,$63.75,"$41,600","$53,990","$74,530","$100,330","$132,610",Non Entry level and Non-tech
211,North Carolina,29-0000,Healthcare Practitioners and Technical Occupations,0,"Cross-industry, private, federal, state, and local",2022,"297,090",0.6,12,$41.91,"$87,180",0.6,$17.78,$24.19,$32.04,$45.81,$66.42,"$36,990","$50,300","$66,650","$95,280","$138,150",Non Entry level and Tech
212,North Carolina,11-0000,Management Occupations,0,"Cross-industry, private, federal, state, and local",2022,"285,550",0.7,12,$60.89,"$126,640",0.6,$25.14,$36.29,$50.11,$76.07,$102.73,"$52,280","$75,480","$104,240","$158,220","$213,680",Non Entry level and Tech
213,North Carolina,43-4051,Customer Service Representatives,0,"Cross-industry, private, federal, state, and local",2022,"89,500",1.6,12,$18.69,"$38,880",0.5,$12.00,$14.39,$17.42,$21.85,$26.97,"$24,960","$29,930","$36,230","$45,460","$56,100",Entry level and Non-tech
214,North Carolina,43-9061,"Office Clerks, General",0,"Cross-industry, private, federal, state, and local",2022,"71,810",2.1,12,$18.07,"$37,580",0.5,$11.17,$13.84,$17.14,$21.31,$26.36,"$23,230","$28,790","$35,660","$44,320","$54,830",Entry level and Non-tech
215,North Carolina,43-4171,Receptionists and Information Clerks,0,"Cross-industry, private, federal, state, and local",2022,"37,580",1.6,12,$15.58,"$32,410",0.6,$10.84,$13.49,$15.22,$17.66,$20.12,"$22,550","$28,070","$31,670","$36,740","$41,840",Entry level and Non-tech
216,North Carolina,37-3011,Landscaping and Groundskeeping Workers,0,"Cross-industry, private, federal, state, and local",2022,"29,030",2.2,12,$16.43,"$34,180",0.6,$12.34,$14.12,$16.28,$17.69,$21.78,"$25,670","$29,360","$33,870","$36,790","$45,290",Entry level and Non-tech
217,North Carolina,47-2111,Electricians,0,"Cross-industry, private, federal, state, and local",2022,"22,640",2.3,12,$24.47,"$50,900",0.9,$17.43,$21.23,$23.57,$27.82,$30.14,"$36,260","$44,150","$49,020","$57,860","$62,690",Non Entry level and Tech
218,North Carolina,13-2072,Loan Officers,0,"Cross-industry, private, federal, state, and local",2022,"13,880",3.5,12,$40.65,"$84,550",2.5,$17.83,$24.62,$36.31,$47.85,$63.46,"$37,080","$51,200","$75,530","$99,520","$132,000",Entry level and Non-tech
219,North Carolina,23-2011,Paralegals and Legal Assistants,0,"Cross-industry, private, federal, state, and local",2022,"12,290",3.6,12,$26.98,"$56,120",2.9,$17.27,$19.80,$24.68,$30.12,$39.09,"$35,920","$41,180","$51,340","$62,650","$81,310",Entry level and Non-tech
220,North Carolina,53-3051,"Bus Drivers, School",0,"Cross-industry, private, federal, state, and local",2022,"12,000",4.5,12,$16.03,"$33,330",0.7,$13.37,$14.44,$15.89,$17.61,$18.39,"$27,810","$30,030","$33,060","$36,620","$38,240",Entry level and Non-tech
221,North Carolina,41-2022,Parts Salespersons,0,"Cross-industry, private, federal, state, and local",2022,"9,830",3.3,12,$16.96,"$35,270",1.2,$10.23,$11.98,$14.51,$20.69,$25.62,"$21,280","$24,920","$30,190","$43,040","$53,290",Entry level and Non-tech
222,North Carolina,25-3021,Self-Enrichment Teachers,0,"Cross-industry, private, federal, state, and local",2022,"9,230",3.3,12,$20.24,"$42,100",2.7,$9.65,$13.01,$17.45,$26.46,$35.24,"$20,080","$27,050","$36,300","$55,030","$73,300",Non Entry level and Tech
223,North Carolina,15-1253,Software Quality Assurance Analysts and Testers,0,"Cross-industry, private, federal, state, and local",2022,"8,210",7.2,12,$46.66,"$97,060",2.1,$23.96,$34.35,$46.97,$55.20,$66.14,"$49,830","$71,440","$97,700","$114,810","$137,570",Non Entry level and Tech
224,North Carolina,29-1171,Nurse Practitioners,0,"Cross-industry, private, federal, state, and local",2022,"8,040",3.2,12,$55.03,"$114,450",0.6,$45.67,$48.68,$53.44,$62.13,$66.05,"$94,990","$101,250","$111,140","$129,230","$137,390",Entry level and Non-tech
225,North Carolina,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0,"Cross-industry, private, federal, state, and local",2022,"3,530",6.8,12,$22.59,"$46,990",1.7,$16.23,$17.64,$20.76,$24.12,$35.98,"$33,750","$36,680","$43,180","$50,170","$74,840",Non Entry level and Tech
226,North Carolina,49-2011,"Computer, Automated Teller, and Office Machine Repairers",0,"Cross-industry, private, federal, state, and local",2022,"3,090",8.9,12,$20.85,"$43,370",2.4,$14.77,$16.88,$19.47,$23.40,$28.74,"$30,710","$35,100","$40,490","$48,670","$59,790",Non Entry level and Tech
227,North Carolina,49-9052,Telecommunications Line Installers and Repairers,0,"Cross-industry, private, federal, state, and local",2022,"3,070",8.7,12,$25.70,"$53,460",1.2,$18.54,$19.62,$24.24,$31.22,$35.70,"$38,560","$40,810","$50,420","$64,940","$74,250",Non Entry level and Tech
228,North Carolina,49-9062,Medical Equipment Repairers,0,"Cross-industry, private, federal, state, and local",2022,"2,970",12.2,12,$31.59,"$65,710",4.5,$18.59,$22.20,$30.01,$37.94,$48.48,"$38,670","$46,170","$62,420","$78,920","$100,840",Non Entry level and Tech
229,North Carolina,15-1254,Web Developers,0,"Cross-industry, private, federal, state, and local",2022,"2,250",27.5,12,$37.80,"$78,620",5.7,$18.88,$25.55,$34.49,$49.00,$61.79,"$39,260","$53,150","$71,740","$101,910","$128,510",Non Entry level and Tech
230,North Carolina,33-9094,School Bus Monitors,0,"Cross-industry, private, federal, state, and local",2022,"1,780",16.2,12,$13.79,"$28,690",4.6,$10.82,$11.59,$13.20,$15.20,$17.21,"$22,510","$24,110","$27,450","$31,620","$35,800",Entry level and Non-tech
231,North Carolina,51-2041,Structural Metal Fabricators and Fitters,0,"Cross-industry, private, federal, state, and local",2022,"1,670",11.2,12,$20.56,"$42,750",3.3,$13.86,$16.64,$19.59,$23.23,$28.01,"$28,820","$34,600","$40,750","$48,320","$58,260",Non Entry level and Tech
232,North Carolina,29-1221,"Pediatricians, General",0,"Cross-industry, private, federal, state, and local",2022,"1,050",10.7,12,$105.48,"$219,400",4.6,$49.91,$73.57,$100.46,*,*,"$103,820","$153,020","$208,950",*,*,Entry level and Non-tech
233,North Carolina,41-3041,Travel Agents,0,"Cross-industry, private, federal, state, and local",2022,"1,010",9.3,12,$22.54,"$46,880",3.7,$13.27,$14.81,$22.28,$26.82,$34.71,"$27,610","$30,790","$46,340","$55,780","$72,200",Entry level and Non-tech
234,North Carolina,49-3051,Motorboat Mechanics and Service Technicians,0,"Cross-industry, private, federal, state, and local",2022,930,9.2,12,$22.03,"$45,820",2.4,$13.38,$16.99,$22.17,$26.96,$31.08,"$27,820","$35,340","$46,100","$56,070","$64,640",Non Entry level and Tech
235,North Carolina,29-1216,General Internal Medicine Physicians,0,"Cross-industry, private, federal, state, and local",2022,790,12.2,12,$121.43,"$252,580",8.5,$26.89,$68.92,$108.50,*,*,"$55,930","$143,360","$225,680",*,*,Non Entry level and Tech
236,North Carolina,49-9044,Millwrights,0,"Cross-industry, private, federal, state, and local",2022,710,11.1,12,$25.79,"$53,650",2.4,$18.28,$22.07,$23.85,$31.31,$32.74,"$38,020","$45,900","$49,600","$65,130","$68,100",Non Entry level and Non-tech
237,North Carolina,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",0,"Cross-industry, private, federal, state, and local",2022,690,10.6,12,$16.04,"$33,370",1.4,$12.54,$14.43,$16.09,$17.63,$18.75,"$26,090","$30,010","$33,470","$36,660","$38,990",Non Entry level and Tech
238,North Carolina,27-1022,Fashion Designers,0,"Cross-industry, private, federal, state, and local",2022,470,22.3,12,$39.00,"$81,120",3.9,$22.08,$25.48,$31.36,$39.68,$59.97,"$45,930","$53,010","$65,220","$82,530","$124,740",Non Entry level and Tech
239,North Carolina,15-1221,Computer and Information Research Scientists,0,"Cross-industry, private, federal, state, and local",2022,400,33.0,12,$54.83,"$114,040",8.3,$34.43,$39.92,$48.72,$62.18,$91.33,"$71,610","$83,020","$101,340","$129,330","$189,960",Non Entry level and Tech
240,North Carolina,25-2051,"Special Education Teachers, Preschool",0,"Cross-industry, private, federal, state, and local",2022,350,17.9,12,*,"$52,010",3.5,*,*,*,*,*,"$38,930","$41,940","$50,400","$61,520","$63,220",Entry level and Non-tech
241,North Carolina,27-4015,Lighting Technicians,0,"Cross-industry, private, federal, state, and local",2022,230,36.1,12,$24.51,"$50,990",24.3,$16.69,$16.98,$18.00,$29.18,$41.07,"$34,720","$35,320","$37,450","$60,690","$85,430",Non Entry level and Tech
242,North Carolina,47-5044,"Loading and Moving Machine Operators, Underground Mining",0,"Cross-industry, private, federal, state, and local",2022,90,13.8,12,$20.79,"$43,240",1.0,$18.27,$18.70,$21.65,$22.01,$23.08,"$38,010","$38,900","$45,030","$45,780","$48,000",Non Entry level and Tech
243,North Carolina,27-2031,Dancers,0,"Cross-industry, private, federal, state, and local",2022,60,38.1,12,$16.40,*,16.5,$9.64,$9.64,$20.09,$21.19,$21.24,*,*,*,*,*,Entry level and Non-tech
244,North Carolina,53-7072,"Pump Operators, Except Wellhead Pumpers",0,"Cross-industry, private, federal, state, and local",2022,20,39.9,12,$22.03,"$45,820",12.5,$16.11,$16.11,$19.74,$23.20,$26.73,"$33,510","$33,510","$41,070","$48,250","$55,600",Non Entry level and Non-tech
245,North Carolina,49-0000,"Installation, Maintenance, and Repair Occupations",0,"Cross-industry, private, federal, state, and local",2022,"192,530",0.8,13,$25.08,"$52,160",0.4,$14.43,$18.08,$23.28,$29.94,$37.64,"$30,010","$37,600","$48,420","$62,270","$78,280",Non Entry level and Tech
246,North Carolina,37-0000,Building and Grounds Cleaning and Maintenance Occupations,0,"Cross-industry, private, federal, state, and local",2022,"128,200",0.9,13,$15.27,"$31,760",0.5,$10.48,$11.88,$14.13,$16.96,$21.53,"$21,800","$24,700","$29,390","$35,280","$44,780",Non Entry level and Tech
247,North Carolina,31-1131,Nursing Assistants,0,"Cross-industry, private, federal, state, and local",2022,"54,260",1.4,13,$15.28,"$31,780",0.5,$11.13,$13.43,$15.31,$17.29,$18.37,"$23,150","$27,930","$31,850","$35,970","$38,220",Entry level and Non-tech
248,North Carolina,15-1211,Computer Systems Analysts,0,"Cross-industry, private, federal, state, and local",2022,"23,690",4.7,13,$48.00,"$99,830",1.6,$26.31,$33.65,$47.73,$60.69,$71.16,"$54,730","$69,990","$99,280","$126,240","$148,000",Non Entry level and Tech
249,North Carolina,31-9092,Medical Assistants,0,"Cross-industry, private, federal, state, and local",2022,"20,620",2.8,13,$18.38,"$38,230",0.4,$14.75,$16.94,$18.11,$20.18,$21.99,"$30,680","$35,240","$37,660","$41,970","$45,730",Entry level and Non-tech
250,North Carolina,29-1229,"Physicians, All Other",0,"Cross-industry, private, federal, state, and local",2022,"14,150",2.6,13,$103.96,"$216,240",1.5,$29.59,$32.04,$103.77,*,*,"$61,560","$66,650","$215,850",*,*,Non Entry level and Tech
251,North Carolina,51-9111,Packaging and Filling Machine Operators and Tenders,0,"Cross-industry, private, federal, state, and local",2022,"12,460",4.2,13,$18.08,"$37,600",0.6,$12.18,$14.07,$17.06,$19.77,$25.77,"$25,340","$29,270","$35,480","$41,110","$53,610",Non Entry level and Tech
252,North Carolina,39-2021,Animal Caretakers,0,"Cross-industry, private, federal, state, and local",2022,"10,000",5.1,13,$13.82,"$28,750",1.5,$10.09,$10.58,$13.04,$14.46,$17.48,"$20,990","$22,010","$27,130","$30,080","$36,370",Entry level and Non-tech
253,North Carolina,35-2012,"Cooks, Institution and Cafeteria",0,"Cross-industry, private, federal, state, and local",2022,"9,480",3.4,13,$14.68,"$30,530",0.8,$10.63,$12.51,$14.24,$16.62,$18.16,"$22,110","$26,020","$29,620","$34,570","$37,760",Entry level and Non-tech
254,North Carolina,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",0,"Cross-industry, private, federal, state, and local",2022,"8,950",3.6,13,$26.70,"$55,530",1.9,$16.00,$19.08,$23.58,$30.55,$38.02,"$33,280","$39,680","$49,050","$63,540","$79,070",Entry level and Non-tech
255,North Carolina,43-9021,Data Entry Keyers,0,"Cross-industry, private, federal, state, and local",2022,"5,770",4.5,13,$17.01,"$35,370",2.0,$11.91,$14.36,$17.00,$19.00,$21.73,"$24,770","$29,860","$35,370","$39,530","$45,190",Entry level and Non-tech
256,North Carolina,35-3041,"Food Servers, Nonrestaurant",0,"Cross-industry, private, federal, state, and local",2022,"5,180",6.5,13,$14.07,"$29,270",3.5,$10.32,$11.05,$13.31,$16.03,$18.27,"$21,470","$22,990","$27,690","$33,340","$38,010",Entry level and Non-tech
257,North Carolina,25-3041,Tutors,0,"Cross-industry, private, federal, state, and local",2022,"4,850",7.6,13,$19.40,"$40,340",2.6,$11.00,$14.22,$17.82,$22.66,$28.48,"$22,880","$29,570","$37,060","$47,140","$59,240",Entry level and Tech
258,North Carolina,53-3053,Shuttle Drivers and Chauffeurs,0,"Cross-industry, private, federal, state, and local",2022,"3,120",6.2,13,$14.00,"$29,130",1.9,$10.03,$10.77,$13.05,$15.83,$20.39,"$20,860","$22,400","$27,140","$32,920","$42,420",Non Entry level and Non-tech
259,North Carolina,51-3092,Food Batchmakers,0,"Cross-industry, private, federal, state, and local",2022,"2,600",12.4,13,$16.20,"$33,700",6.4,$8.70,$11.97,$15.68,$19.66,$24.35,"$18,100","$24,890","$32,620","$40,880","$50,650",Non Entry level and Tech
260,North Carolina,29-1215,Family Medicine Physicians,0,"Cross-industry, private, federal, state, and local",2022,"1,630",8.4,13,$107.98,"$224,590",2.1,$52.88,$85.34,$104.42,*,*,"$109,990","$177,520","$217,200",*,*,Non Entry level and Tech
261,North Carolina,27-4021,Photographers,0,"Cross-industry, private, federal, state, and local",2022,"1,530",5.7,13,$21.12,"$43,920",2.7,$12.83,$15.60,$18.57,$23.04,$34.51,"$26,680","$32,450","$38,630","$47,930","$71,780",Non Entry level and Tech
262,North Carolina,39-4021,Funeral Attendants,0,"Cross-industry, private, federal, state, and local",2022,"1,490",4.4,13,$14.66,"$30,500",3.0,$11.07,$12.85,$13.66,$16.04,$18.47,"$23,020","$26,720","$28,410","$33,370","$38,420",Entry level and Non-tech
263,North Carolina,53-3099,"Motor Vehicle Operators, All Other",0,"Cross-industry, private, federal, state, and local",2022,"1,390",8.7,13,$15.15,"$31,520",1.8,$10.18,$11.32,$14.26,$16.73,$21.66,"$21,180","$23,540","$29,650","$34,800","$45,050",Non Entry level and Non-tech
264,North Carolina,41-9011,Demonstrators and Product Promoters,0,"Cross-industry, private, federal, state, and local",2022,"1,350",14.0,13,$14.96,"$31,110",4.6,$11.74,$12.72,$12.97,$16.75,$20.20,"$24,430","$26,460","$26,970","$34,840","$42,010",Non Entry level and Non-tech
265,North Carolina,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",0,"Cross-industry, private, federal, state, and local",2022,"1,330",9.9,13,$19.53,"$40,630",2.6,$13.72,$15.35,$19.01,$22.06,$28.13,"$28,530","$31,930","$39,540","$45,890","$58,510",Non Entry level and Tech
266,North Carolina,31-2011,Occupational Therapy Assistants,0,"Cross-industry, private, federal, state, and local",2022,"1,290",7.1,13,$32.07,"$66,710",0.8,$26.61,$29.45,$31.49,$35.08,$38.73,"$55,350","$61,250","$65,500","$72,970","$80,550",Entry level and Non-tech
267,North Carolina,27-1021,Commercial and Industrial Designers,0,"Cross-industry, private, federal, state, and local",2022,820,13.5,13,$40.55,"$84,340",6.2,$21.37,$25.00,$33.83,$46.01,$65.92,"$44,450","$52,010","$70,360","$95,700","$137,120",Non Entry level and Tech
268,North Carolina,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0,"Cross-industry, private, federal, state, and local",2022,600,11.9,13,$19.55,"$40,670",2.3,$15.11,$16.50,$18.64,$21.69,$23.69,"$31,430","$34,330","$38,760","$45,120","$49,270",Entry level and Non-tech
269,North Carolina,47-3019,"Helpers, Construction Trades, All Other",0,"Cross-industry, private, federal, state, and local",2022,590,15.1,13,$15.89,"$33,060",2.0,$13.31,$14.17,$16.42,$17.88,$18.12,"$27,680","$29,480","$34,160","$37,180","$37,690",Entry level and Tech
270,North Carolina,39-6011,Baggage Porters and Bellhops,0,"Cross-industry, private, federal, state, and local",2022,450,18.7,13,$12.36,"$25,720",3.3,$9.67,$10.82,$11.93,$13.47,$14.35,"$20,110","$22,500","$24,820","$28,010","$29,850",Entry level and Non-tech
271,North Carolina,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",0,"Cross-industry, private, federal, state, and local",2022,210,25.8,13,$26.11,"$54,300",3.8,$17.41,$22.49,$24.63,$31.54,$31.93,"$36,210","$46,790","$51,220","$65,610","$66,410",Non Entry level and Tech
272,North Carolina,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0,"Cross-industry, private, federal, state, and local",2022,210,26.0,13,$22.15,"$46,080",5.6,$15.04,$18.06,$19.77,$26.61,$28.24,"$31,290","$37,560","$41,130","$55,350","$58,750",Non Entry level and Tech
273,North Carolina,49-3091,Bicycle Repairers,0,"Cross-industry, private, federal, state, and local",2022,200,27.6,13,$17.68,"$36,770",7.1,$13.41,$14.98,$17.95,$18.97,$22.86,"$27,890","$31,160","$37,330","$39,460","$47,560",Entry level and Tech
274,North Carolina,51-9083,Ophthalmic Laboratory Technicians,0,"Cross-industry, private, federal, state, and local",2022,150,23.9,13,$18.15,"$37,750",5.1,$13.89,$14.18,$16.25,$18.22,$30.37,"$28,900","$29,490","$33,810","$37,900","$63,170",Non Entry level and Tech
275,North Carolina,31-2012,Occupational Therapy Aides,0,"Cross-industry, private, federal, state, and local",2022,110,43.5,13,$26.17,"$54,440",6.0,$15.03,$22.85,$29.06,$29.06,$29.06,"$31,260","$47,530","$60,440","$60,440","$60,440",Entry level and Non-tech
276,North Carolina,25-0000,Educational Instruction and Library Occupations,0,"Cross-industry, private, federal, state, and local",2022,"268,980",0.5,14,$25.45,"$52,930",0.5,$11.47,$15.76,$23.04,$28.91,$37.84,"$23,850","$32,780","$47,920","$60,130","$78,700",Entry level and Non-tech
277,North Carolina,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",0,"Cross-industry, private, federal, state, and local",2022,"123,040",1.3,14,$16.32,"$33,940",0.4,$11.87,$14.28,$15.89,$17.56,$21.25,"$24,690","$29,690","$33,060","$36,530","$44,190",Non Entry level and Tech
278,North Carolina,11-1021,General and Operations Managers,0,"Cross-industry, private, federal, state, and local",2022,"89,160",1.6,14,$59.85,"$124,490",1.2,$21.89,$31.25,$48.09,$76.00,$106.34,"$45,520","$65,000","$100,020","$158,070","$221,180",Non Entry level and Tech
279,North Carolina,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",0,"Cross-industry, private, federal, state, and local",2022,"49,590",2.3,14,$20.89,"$43,450",0.7,$13.78,$17.04,$20.41,$23.97,$28.57,"$28,660","$35,450","$42,450","$49,870","$59,420",Entry level and Non-tech
280,North Carolina,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",0,"Cross-industry, private, federal, state, and local",2022,"48,910",2.1,14,$32.05,"$66,670",2.6,$13.80,$17.55,$24.83,$36.66,$50.81,"$28,700","$36,490","$51,640","$76,260","$105,690",Non Entry level and Tech
281,North Carolina,23-0000,Legal Occupations,0,"Cross-industry, private, federal, state, and local",2022,"28,060",1.6,14,$49.41,"$102,780",3.1,$18.63,$24.13,$33.90,$61.23,$101.69,"$38,750","$50,190","$70,520","$127,350","$211,520",Non Entry level and Tech
282,North Carolina,13-1082,Project Management Specialists,0,"Cross-industry, private, federal, state, and local",2022,"23,520",4.3,14,$47.97,"$99,770",1.7,$26.42,$33.32,$45.11,$61.78,$74.10,"$54,950","$69,310","$93,820","$128,510","$154,130",Non Entry level and Tech
283,North Carolina,13-1111,Management Analysts,0,"Cross-industry, private, federal, state, and local",2022,"19,360",4.1,14,$49.19,"$102,310",1.5,$27.91,$35.38,$47.27,$60.55,$77.06,"$58,040","$73,580","$98,310","$125,950","$160,270",Non Entry level and Tech
284,North Carolina,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0,"Cross-industry, private, federal, state, and local",2022,"14,160",4.6,14,$23.74,"$49,380",1.3,$15.82,$18.75,$23.08,$27.75,$31.37,"$32,910","$39,010","$48,000","$57,720","$65,240",Entry level and Non-tech
285,North Carolina,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,0,"Cross-industry, private, federal, state, and local",2022,"9,990",3.8,14,$25.08,"$52,170",0.8,$17.49,$20.56,$24.18,$29.49,$33.98,"$36,380","$42,760","$50,290","$61,340","$70,670",Non Entry level and Tech
286,North Carolina,51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",0,"Cross-industry, private, federal, state, and local",2022,"8,050",3.9,14,$19.74,"$41,060",1.0,$13.88,$16.60,$18.76,$22.65,$25.01,"$28,860","$34,530","$39,020","$47,110","$52,010",Non Entry level and Tech
287,North Carolina,45-0000,"Farming, Fishing, and Forestry Occupations",0,"Cross-industry, private, federal, state, and local",2022,"7,300",3.9,14,$18.40,"$38,270",1.8,$11.13,$14.03,$17.07,$21.77,$27.50,"$23,140","$29,170","$35,500","$45,290","$57,200",Non Entry level and Tech
288,North Carolina,15-1241,Computer Network Architects,0,"Cross-industry, private, federal, state, and local",2022,"7,290",3.7,14,$58.93,"$122,570",1.1,$36.69,$43.11,$54.28,$72.15,$83.86,"$76,300","$89,660","$112,900","$150,070","$174,420",Non Entry level and Tech
289,North Carolina,13-2053,Insurance Underwriters,0,"Cross-industry, private, federal, state, and local",2022,"3,750",6.2,14,$38.23,"$79,520",1.4,$23.71,$27.77,$35.74,$47.06,$59.68,"$49,320","$57,770","$74,350","$97,880","$124,130",Non Entry level and Non-tech
290,North Carolina,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0,"Cross-industry, private, federal, state, and local",2022,"3,640",4.2,14,$25.43,"$52,900",1.7,$16.86,$20.18,$23.86,$29.94,$36.74,"$35,060","$41,960","$49,630","$62,270","$76,420",Entry level and Non-tech
291,North Carolina,43-4151,Order Clerks,0,"Cross-industry, private, federal, state, and local",2022,"3,290",5.1,14,$18.21,"$37,870",1.0,$12.93,$15.05,$16.24,$21.12,$24.41,"$26,900","$31,300","$33,780","$43,920","$50,770",Entry level and Non-tech
292,North Carolina,31-2021,Physical Therapist Assistants,0,"Cross-industry, private, federal, state, and local",2022,"2,720",6.2,14,$30.37,"$63,180",1.3,$22.71,$25.52,$29.49,$34.48,$40.16,"$47,230","$53,090","$61,340","$71,720","$83,540",Entry level and Non-tech
293,North Carolina,41-3011,Advertising Sales Agents,0,"Cross-industry, private, federal, state, and local",2022,"2,570",10.1,14,$29.59,"$61,540",2.3,$13.79,$18.18,$23.65,$36.40,$48.62,"$28,670","$37,820","$49,200","$75,720","$101,140",Entry level and Non-tech
